,basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,cvNd_diff_rate,K,accuracy
0,20171222,고려아연,10130,490000,490000,481000,483000,22770,-4000,-0.82,486666.66666666674,0.1,0,0.0,11,79.71014492753623
1,20171221,고려아연,10130,486500,492000,482000,487000,33988,-3000,-0.61,486166.66666666674,0.14,0,-1.43,11,79.71014492753623
2,20171220,고려아연,10130,481500,492000,481500,490000,27140,8500,1.77,485500.0,0.55,0,1.14,11,79.71014492753623
3,20171219,고려아연,10130,483000,486500,479000,481500,24376,-3500,-0.72,482833.33333333326,0.38,0,1.03,11,79.71014492753623
4,20171218,고려아연,10130,480000,485000,478000,485000,23390,3000,0.62,481000.0,0.7,0,-0.1,11,79.71014492753623
5,20171215,고려아연,10130,481500,488000,477500,482000,40000,6000,1.26,477666.66666666674,0.81,1,1.89,11,79.71014492753623
6,20171214,고려아연,10130,476500,480500,475500,476000,46943,1000,0.21,473833.33333333326,0.46,1,1.47,11,79.71014492753623
7,20171213,고려아연,10130,470500,478500,470500,475000,24986,4500,0.96,471666.66666666674,0.78,1,1.17,11,79.71014492753623
8,20171212,고려아연,10130,466000,471500,464000,470500,23330,1000,0.21,468000.0,0.0,1,1.17,11,79.71014492753623
9,20171211,고려아연,10130,465000,469500,464500,469500,19796,5500,1.19,468000.0,-0.07,0,1.4,11,79.71014492753623
10,20171208,고려아연,10130,469000,471500,464000,464000,34651,-6500,-1.38,468333.33333333326,-1.47,0,-0.21,11,79.71014492753623
11,20171207,고려아연,10130,470500,471500,465000,470500,27261,0,0.0,475333.33333333326,-0.59,0,-1.38,11,79.71014492753623
12,20171206,고려아연,10130,488000,488000,470500,470500,50718,-14500,-2.99,478166.66666666674,-0.66,0,-2.99,11,79.71014492753623
13,20171205,고려아연,10130,477000,492000,477000,485000,47938,6000,1.25,481333.33333333326,-0.1,0,-1.77,11,79.71014492753623
14,20171204,고려아연,10130,485000,486000,474500,479000,45131,-1000,-0.21,481833.33333333326,-0.76,0,1.04,11,79.71014492753623
15,20171201,고려아연,10130,487500,487500,479000,480000,42333,-6500,-1.34,485500.0,-1.09,-1,-1.54,11,79.71014492753623
16,20171130,고려아연,10130,492500,493000,482000,486500,62956,-3500,-0.71,490833.33333333326,-0.71,-1,-2.04,11,79.71014492753623
17,20171129,고려아연,10130,496000,496000,490000,490000,22392,-6000,-1.21,494333.33333333326,-0.27,-1,-1.92,11,79.71014492753623
18,20171128,고려아연,10130,496000,499500,491000,496000,26996,-1000,-0.2,495666.66666666674,0.17,0,-1.41,11,79.71014492753623
19,20171127,고려아연,10130,494000,497500,492000,497000,21569,3000,0.61,494833.33333333326,-0.07,0,0.4,11,79.71014492753623
